,Name,Price,Old_Price,Discount
0,Global Version 2022 New S22+ Ultra 7.3 Inch Android Smartphone 8GB+512GB 7300mAh,"₦ 68,000","₦ 165,853",59%
1,Fingerprint Touch Bluetooth Headset Noise-cancelling Stereo Headset,"₦ 2,890","₦ 4,320",33%
2,Bluetooth 5.0 PRO3 Wireless Earphone Waterproof Earbuds Air3 Business Big Batteries Headset,"₦ 2,900","₦ 4,455",35%
3,Men's Vintage Patterned Casual Short Sleeve Shirt,"₦ 4,400","₦ 7,800",44%
4,Smart Watch Full Touch Screen Watch - For Android & IOS.,"₦ 4,570","₦ 6,855",33%
5,Binatone Dry Iron - Di1255,"₦ 4,957","₦ 6,855",33%
6,Men's Slip-on Sneakers - Black,"₦ 5,647","₦ 6,855",33%
7,"WEYON 32"" Inches LED TV  +1 Years Warranty - Black","₦ 67,490","₦ 98,020",31%
8,Yemlays Men's Casual Shoe -blue,"₦ 4,980","₦ 7,827",36%
9,4 In 1 Men's Underwear Boxer Cotton Underwear,"₦ 4,600","₦ 6,161",25%
10,Latest Men Sneakers -Black,"₦ 4,490","₦ 9,827",54%
11,Nexus Single Door Fridge NX-65 Silver,"₦ 63,720","₦ 9,827",54%
12,"Cubot Note 8, 5.5"", 2GB+16GB, Android 11,3100mAh,4G Dual SIM-Black","₦ 32,500","₦ 59,900",46%
13,DM Presentable Breatheable Sneakers,"₦ 2,900","₦ 6,000",52%
14,"UMIDIGI A13 Pro (6GB,128GB ROM) 5150mAh NFC (48MP+8MP+5MP)+16MP-Sunglow Gold","₦ 150,784","₦ 6,000",52%
15,Jameson Irish Whisky 70cl + Free Pack of 50cl Coca Cola Drink,"₦ 9,500","₦ 6,000",52%
16,Derma Roller Micro Needle Skin Multi 1.5mm,"₦ 2,800","₦ 5,000",44%
17,Nano Tape Double Sided Adhesive Tape 3cm X 3m,"₦ 2,000","₦ 4,098",51%
18,Balaclava Ski Mask Lemon,"₦ 5,099","₦ 15,000",66%
19,Bluetooth Selfie Stick Phone Stand Telescopic And Portable Multifunctional Tripod,"₦ 3,800","₦ 5,560",32%
20,Urban Graphic Bucket Hats (black),"₦ 4,675","₦ 15,000",69%
21,Modern Mosquito Foldable Net /Tent 6*6 Bed,"₦ 6,500","₦ 9,999",35%
22,The Ordinary Niacinamide + Peeling Solution + Alpha Arbutin,"₦ 7,400","₦ 22,000",66%
23,Classy 12Inch 30Cm Glow Dark Quartz Luminous Wall Clock,"₦ 5,500","₦ 8,900",38%
24,LCD Display Digital Timer Switch Socket,"₦ 4,300","₦ 8,504",49%
25,Millions & Billions  Trucker Hat (blue  And White),"₦ 4,249","₦ 15,000",72%
26,Cuban Link Chain With  Pendant Silver,"₦ 2,600","₦ 2,800",7%
27,Infant Baby Boys Girls Clothes Sets-van,"₦ 3,100 - ₦ 3,700","₦ 8,999",66%
28,Ard Alzaafran Ard Alzaafaran MOUSUF,"₦ 6,800","₦ 10,500",35%
29,MINDSET   Trucker Hat (black And White  ),"₦ 4,249","₦ 15,000",72%
30,"XIAOMI Poco C40, 4GB/64GB, 6000 MAh - Poco Yellow","₦ 83,900","₦ 87,500",4%
31,"UMIDIGI A11 (3GB,64GB ROM) Android 11 Infrared Temperature Sensor 2.0 (16MP+8MP+5MP)+8MP 5150mAh 6.53"" Global Version-Frost Grey","₦ 71,900","₦ 111,569",36%
32,"Infinix Smart 6, 6.6"", 2GB/32GB,5000MAh, Android 11 -OCean Wave Blue","₦ 58,000","₦ 64,000",9%
33,ABS Laptop Stand Desktop Bracket Can Be Folded Up And Down To Receive Portable Radiator,"₦ 3,340","₦ 6,000",44%
34,Nestle Milo Hot Chocolate Refill - 400g x3,"₦ 3,695","₦ 6,000",44%
35,Latest Men Sneakers -Black,"₦ 4,490","₦ 9,827",54%
36,T&G Wireless Bluetooth Speaker With USB & TF Card-Black,"₦ 5,990","₦ 7,900",24%
